trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/initial_path_coefficient,hparam/path_decay_factor,hparam/max_steps,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/initial_path_coefficient,config/path_decay_factor,config/log_det_parameter,config/max_steps
a7f77_00000,5.668000000000001,566.8,0.2253333333333333,0.43212663124812234,0.5678733687518778,0.3222075063434041,0.9433200000000002,0.010851063829787223,0.00029296875,0.5967983333333333,1854.5459589972002,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00024981429443851085,0.07831579445689182,1.0,0.1,4.0,9256.720727682114,True,,,1,895aa9f2a3bd4c14805f91965382e746,2023-05-20_22-02-19,1684612939,9256.720727682114,97122,c17,172.16.6.17,9256.720727682114,0,1,0.005648136138916016,"0_lambda_reg=0.0783,learning_rate=0.0002",0.3,False,64,5000,True,0.00024981429443851085,0.07831579445689182,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00001,4.747999999999999,474.8,0.5616666666666666,0.37129083574833543,0.6287091642516645,0.5905983567497877,0.95252,0.02253191489361701,0.00048370361328125,0.840442304964539,1663.6987474146001,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006259522415824566,0.005827480117785145,1.0,0.1,4.0,8304.343346595764,True,,,1,196a2eb671f14e92a80f7d6ad44a2a7d,2023-05-20_21-46-31,1684611991,8304.343346595764,97202,c17,172.16.6.17,8304.343346595764,0,1,0.005634784698486328,"1_lambda_reg=0.0058,learning_rate=0.0006",0.3,False,64,5000,True,0.0006259522415824566,0.005827480117785145,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00002,9.972,997.2,0.43999999999999995,0.7116256765192894,0.2883743234807107,0.34767384186020245,0.9002800000000001,0.07034042553191491,0.01628570556640625,0.8050568794326243,1883.6294847336,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010674450722978791,0.002496415231793155,1.0,0.1,4.0,9402.039185523987,True,,,1,82ef2d916ba6480baa72f1f95bad34a7,2023-05-20_22-04-54,1684613094,9402.039185523987,97264,c17,172.16.6.17,9402.039185523987,0,1,0.004370689392089844,"2_lambda_reg=0.0025,learning_rate=0.0001",0.3,False,64,5000,True,0.0001067445072297879,0.002496415231793155,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00003,6.167999999999999,616.8,0.4013333333333334,0.5143067707594853,0.4856932292405148,0.43903951072793934,0.93832,0.027404255319148897,0.00080718994140625,0.6963677659574468,2038.2100661688,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010193233078562624,0.014842227539982438,1.0,0.1,4.0,10172.51192188263,True,,,1,266c6a100f6f47c38d6acd761ccb4e6b,2023-05-20_22-17-44,1684613864,10172.51192188263,97267,c17,172.16.6.17,10172.51192188263,0,1,0.0044841766357421875,"3_lambda_reg=0.0148,learning_rate=0.0001",0.3,False,64,5000,True,0.00010193233078562623,0.014842227539982438,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00004,5.6819999999999995,568.2,0.24133333333333332,0.43394187779433685,0.5660581222056631,0.33782139641069603,0.9431799999999999,0.012021276595744701,0.0002166748046875,0.6328422695035462,1859.7227540098,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0008776803372755328,0.06439286142481712,1.0,0.1,4.0,9282.62505364418,True,,,1,6626fc2214474220a00ecdd00af48bb9,2023-05-20_22-02-54,1684612974,9282.62505364418,97269,c17,172.16.6.17,9282.62505364418,0,1,0.004254817962646484,"4_lambda_reg=0.0644,learning_rate=0.0009",0.3,False,64,5000,True,0.0008776803372755327,0.06439286142481712,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00005,6.936000000000002,693.6,0.723,0.540721118538125,0.459278881461875,0.5604957830971642,0.93064,0.05610638297872341,0.00102691650390625,0.9237209574468086,1718.1467811332,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0002940578775748385,0.00091718769220618,1.0,0.1,4.0,8577.721511125565,True,,,1,44ecae28905d478984e54c0ca8d479ca,2023-05-20_21-51-15,1684612275,8577.721511125565,97450,c17,172.16.6.17,8577.721511125565,0,1,0.004216432571411133,"5_lambda_reg=0.0009,learning_rate=0.0003",0.3,False,64,5000,True,0.0002940578775748385,0.0009171876922061802,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00006,9.294,929.4,0.7396666666666667,0.6197755736988919,0.38022442630110814,0.5000312244055263,0.9070600000000001,0.08225531914893616,0.0061279296875,0.9169379078014185,1526.5410145392,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.000993264202303732,0.0001127672939393166,1.0,0.1,4.0,7621.258787870407,True,,,1,bf58c34c49b74ae08788df76ab85e7e3,2023-05-20_21-35-18,1684611318,7621.258787870407,97454,c17,172.16.6.17,7621.258787870407,0,1,0.004530668258666992,"6_lambda_reg=0.0001,learning_rate=0.0010",0.3,False,64,5000,True,0.000993264202303732,0.0001127672939393166,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00007,6.766,676.6,0.7343333333333334,0.5245233017697568,0.47547669823024324,0.5739224749697225,0.93234,0.0550212765957447,0.0028167724609375,0.9282992553191489,1384.7025825216,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006915767451550359,0.0008720236249362467,1.0,0.1,4.0,6912.607474565506,True,,,1,36da44c006e94fe59f1c6dbd90faafff,2023-05-20_21-23-30,1684610610,6912.607474565506,97456,c17,172.16.6.17,6912.607474565506,0,1,0.0046787261962890625,"7_lambda_reg=0.0009,learning_rate=0.0007",0.3,False,64,5000,True,0.0006915767451550359,0.0008720236249362468,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00008,5.112,511.2,0.7003333333333334,0.4353560959576231,0.564643904042377,0.6238674896112287,0.9488800000000002,0.03525531914893616,0.00120086669921875,0.9197612588652483,1291.6917621802,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0007810775991448163,0.001996692719553286,1.0,0.1,4.0,6449.466521263123,True,,,1,c3e9e529a3244ed2b6c912320783acef,2023-05-20_21-15-46,1684610146,6449.466521263123,97458,c17,172.16.6.17,6449.466521263123,0,1,0.0045588016510009766,"8_lambda_reg=0.0020,learning_rate=0.0008",0.3,False,64,5000,True,0.0007810775991448163,0.001996692719553286,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
a7f77_00009,7.785999999999999,778.6,0.7756666666666666,0.5776423322705119,0.42235766772948813,0.5462003684987253,0.92214,0.06851063829787234,0.00203704833984375,0.9308871631205674,1503.1207844396,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001760881108297892,0.0004773194903058513,1.0,0.1,4.0,7504.351531744003,True,,,1,77a766b41096475db0e9f79cb9d37715,2023-05-20_21-33-21,1684611201,7504.351531744003,97460,c17,172.16.6.17,7504.351531744003,0,1,0.004878044128417969,"9_lambda_reg=0.0005,learning_rate=0.0002",0.3,False,64,5000,True,0.0001760881108297892,0.00047731949030585134,,1.0,0.1,"[1.0, 0.9, 0.8, 0.7]",4
