trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
36a23_00000,3.14,314.0,0.22102564102564104,0.10638010162886899,0.8936198983711311,0.35411609717163933,0.9686,0.0010613943808532866,0.0,0.7047213639638198,25702.5061085102,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0008182211028453391,0.07070686433931014,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,128174.94042396545,True,,,1,133f64135aa34724a3aa650e6cde5b11,2023-05-14_21-51-04,1684093864,128174.94042396545,331666,c13,172.16.6.13,128174.94042396545,0,1,0.005035877227783203,"0_lambda_reg=0.0707,learning_rate=0.0008",0.3,False,64,5000,True,0.0008182211028453391,0.07070686433931014,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00001,0.738,73.8,0.9446153846153846,0.12237977289334878,0.8776202271066513,0.9096237727423275,0.99262,0.005431841831425599,0.0,0.9888563729021584,24558.1060332044,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00031862125011509785,0.0003908781609358031,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,122484.53500127792,True,,,1,27985f5f1ebb4d4c83a875b31bb44ae3,2023-05-14_20-16-18,1684088178,122484.53500127792,331745,c13,172.16.6.13,122484.53500127792,0,1,0.0064814090728759766,"1_lambda_reg=0.0004,learning_rate=0.0003",0.3,False,64,5000,True,0.00031862125011509785,0.0003908781609358031,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00002,0.562,56.2,0.9707692307692308,0.10314747996441105,0.896852520035589,0.9318774427729053,0.9943799999999999,0.00466181061394384,0.0,0.9932164678886843,23528.7873041612,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0004622261983332943,0.00023159599254424096,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,117342.5111386776,True,,,1,38ce6e75c8314ca8803f111e5673a278,2023-05-14_18-50-41,1684083041,117342.5111386776,331808,c13,172.16.6.13,117342.5111386776,0,1,0.004815816879272461,"2_lambda_reg=0.0002,learning_rate=0.0005",0.3,False,64,5000,True,0.0004622261983332943,0.00023159599254424096,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00003,0.5880000000000001,58.8,0.976923076923077,0.11446042594445442,0.8855395740555455,0.9287346317845223,0.99412,0.0051821019771072,0.0,0.9959423677259267,22756.8164958076,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006318471669922769,0.00012571189976597923,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,113483.90149903297,True,,,1,dc596a4ef1ae4f2e87b1cfd321ca0a59,2023-05-14_17-46-22,1684079182,113483.90149903297,331811,c13,172.16.6.13,113483.90149903297,0,1,0.005053281784057617,"3_lambda_reg=0.0001,learning_rate=0.0006",0.3,False,64,5000,True,0.0006318471669922769,0.00012571189976597923,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00004,0.78,78.0,0.9015384615384615,0.09821359984806968,0.9017864001519303,0.9011308090702995,0.9921999999999999,0.004120707596253914,0.0,0.9897473251687611,23880.610476693,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0009353703737583067,0.003338898901425986,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,119094.87253570557,True,,,1,dcdef0e03770433b8abd9019a70aa59b,2023-05-14_19-19-54,1684084794,119094.87253570557,331813,c13,172.16.6.13,119094.87253570557,0,1,0.004409313201904297,"4_lambda_reg=0.0033,learning_rate=0.0009",0.3,False,64,5000,True,0.0009353703737583068,0.003338898901425986,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00005,0.72,72.0,0.9764102564102565,0.13998261142448273,0.8600173885755172,0.9141986589963083,0.9928000000000001,0.006534859521331949,0.0,0.9903029963446196,24029.6383257732,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00012206046973654771,0.0001632229553010711,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,119831.85207748413,True,,,1,6e3c04b0aebf41ea9b58ea5704f87dd9,2023-05-14_19-32-11,1684085531,119831.85207748413,331815,c13,172.16.6.13,119831.85207748413,0,1,0.004152774810791016,"5_lambda_reg=0.0002,learning_rate=0.0001",0.3,False,64,5000,True,0.00012206046973654771,0.0001632229553010711,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00006,0.4800000000000001,48.0,0.9661538461538463,0.08378769224864883,0.9162123077513511,0.9403650259069828,0.9952,0.0036212278876170735,0.0,0.9939235305104193,24112.2858708684,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00011080498682099175,0.00031531134766957946,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,120249.09913420677,True,,,1,259ab25645164cb3930c1fcfb9199383,2023-05-14_19-39-13,1684085953,120249.09913420677,332057,c13,172.16.6.13,120249.09913420677,0,1,0.0070683956146240234,"6_lambda_reg=0.0003,learning_rate=0.0001",0.3,False,64,5000,True,0.00011080498682099175,0.00031531134766957946,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00007,0.9800000000000001,98.0,0.9297435897435898,0.15821231731982238,0.8417876826801777,0.882858099828901,0.9902000000000001,0.007346514047866792,0.0,0.9831736705888631,24770.088707794403,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001001517951410165,0.0005669631845400597,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,123521.55223321915,True,,,1,cf93b550e31d4950adb48813db24e0de,2023-05-14_20-33-46,1684089226,123521.55223321915,332060,c13,172.16.6.13,123521.55223321915,0,1,0.004871368408203125,"7_lambda_reg=0.0006,learning_rate=0.0001",0.3,False,64,5000,True,0.0001001517951410165,0.0005669631845400597,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00008,1.32,132.0,0.9435897435897436,0.22784180127996598,0.7721581987200341,0.8488704543348744,0.9868,0.011446409989594186,0.0,0.9912860001600896,24531.890829149997,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.000860242230546171,0.00013012705533862833,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,122359.53267431259,True,,,1,32a0aa4c5cb644f893fe92aff645a598,2023-05-14_20-14-24,1684088064,122359.53267431259,332062,c13,172.16.6.13,122359.53267431259,0,1,0.005513906478881836,"8_lambda_reg=0.0001,learning_rate=0.0009",0.3,False,64,5000,True,0.000860242230546171,0.00013012705533862833,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
36a23_00009,2.088,208.8,0.5194871794871795,0.0947462678640553,0.9052537321359448,0.6598881849636232,0.97912,0.002226847034339241,0.0,0.9004698898049573,25556.470472619996,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0002810953627466804,0.019095529093178437,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,127453.5660378933,True,,,1,7d2f7b5789624bd09f333c7477d0432c,2023-05-14_21-39-23,1684093163,127453.5660378933,332260,c13,172.16.6.13,127453.5660378933,0,1,0.0051648616790771484,"9_lambda_reg=0.0191,learning_rate=0.0003",0.3,False,64,5000,True,0.0002810953627466804,0.019095529093178437,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
