trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
6d6eb_00000,0.574,57.4,0.9784615384615385,0.11054662379235125,0.8894533762076489,0.9310654342414167,0.99426,0.005098855359001076,0.0,0.9898464206622375,25211.0313495474,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00013029303405699138,0.00015744553147461045,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,126425.73618602753,True,,,1,8a8e217b0253428895dbd8ca3db488f9,2023-05-08_21-09-05,1683572945,126425.73618602753,229251,c08,172.16.6.8,126425.73618602753,0,1,0.006036043167114258,"0_lambda_reg=0.0002,learning_rate=0.0001",0.3,False,64,5000,True,0.00013029303405699138,0.00015744553147461045,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00001,1.08,108.0,0.7794871794871796,0.0666168156055994,0.9333831843944005,0.8494409107370837,0.9892,0.0022892819979188684,0.0,0.971209904213026,26370.590607694197,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0003900735422700454,0.007574183606015432,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,132219.69531416893,True,,,1,66c2d7d9baa04522a2b186ec2c71daa8,2023-05-08_22-45-44,1683578744,132219.69531416893,229336,c08,172.16.6.8,132219.69531416893,0,1,0.0051953792572021484,"1_lambda_reg=0.0076,learning_rate=0.0004",0.3,False,64,5000,True,0.0003900735422700454,0.007574183606015432,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00002,1.06,106.0,0.9205128205128206,0.1733242666412244,0.8266757333587755,0.869791784178848,0.9894000000000001,0.007804370447450593,0.0,0.9876539395394754,24690.9969467254,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0009146458006403674,0.00016929007739365564,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,123772.03911447525,True,,,1,1e92f87a3ef343999256aab0d1350170,2023-05-08_20-25-01,1683570301,123772.03911447525,229400,c08,172.16.6.8,123772.03911447525,0,1,0.005355119705200195,"2_lambda_reg=0.0002,learning_rate=0.0009",0.3,False,64,5000,True,0.0009146458006403674,0.00016929007739365564,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00003,1.3599999999999999,136.0,0.7194871794871794,0.086486805646242,0.9135131943537582,0.804873736828829,0.9864,0.0027679500520291223,0.0,0.9633946476693616,27187.6562291914,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0004776722777391863,0.008849885855474023,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,136264.6246728897,True,,,1,dcc71bafab16432fbf9e9fd6fd06f3f3,2023-05-08_23-53-19,1683582799,136264.6246728897,229462,c08,172.16.6.8,136264.6246728897,0,1,0.0038344860076904297,"3_lambda_reg=0.0088,learning_rate=0.0005",0.3,False,64,5000,True,0.0004776722777391863,0.008849885855474023,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00004,0.6679999999999999,66.8,0.8964102564102564,0.06981831829377527,0.9301816817062247,0.9128809588308417,0.99332,0.002747138397502602,0.0,0.9825976146642119,25050.0828834266,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00011756474384765649,0.003499883404070174,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,125509.08600354195,True,,,1,ac2fe3b28b904a9eb5787c8b9f858163,2023-05-08_20-54-03,1683572043,125509.08600354195,229464,c08,172.16.6.8,125509.08600354195,0,1,0.004601240158081055,"4_lambda_reg=0.0035,learning_rate=0.0001",0.3,False,64,5000,True,0.00011756474384765649,0.003499883404070174,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00005,0.5,50.0,0.961025641025641,0.08068470563871397,0.919315294361286,0.9390904353313723,0.9949999999999999,0.0036212278876170735,0.0,0.9922470716934818,24946.9642252152,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006511519513842658,0.0010527913726199518,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,125097.63396430016,True,,,1,ef9f34813e824f69acd176f7b7f0e639,2023-05-08_20-47-12,1683571632,125097.63396430016,229467,c08,172.16.6.8,125097.63396430016,0,1,0.004493236541748047,"5_lambda_reg=0.0011,learning_rate=0.0007",0.3,False,64,5000,True,0.0006511519513842658,0.0010527913726199518,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00006,1.0100000000000002,101.0,0.9543589743589743,0.17267751184500485,0.827322488154995,0.8845239794498685,0.9898999999999999,0.008657648283038522,0.0,0.9888463939806291,26130.701965562996,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00020218650242160096,0.00014158406428890167,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,130989.4169743061,True,,,1,cc4f5ddc0b074575bc91f3b86cb72560,2023-05-08_22-25-24,1683577524,130989.4169743061,229469,c08,172.16.6.8,130989.4169743061,0,1,0.005009889602661133,"6_lambda_reg=0.0001,learning_rate=0.0002",0.3,False,64,5000,True,0.000202186502421601,0.00014158406428890167,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00007,0.708,70.8,0.9579487179487179,0.12536079964116997,0.8746392003588301,0.9141033254377919,0.9929200000000001,0.005660770031217499,0.0,0.9907364123909389,24698.007052772402,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006349045601419594,0.0005182561518763066,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,123781.82405662537,True,,,1,67124e5f8e3a4cac83ec603572f2f5fe,2023-05-08_20-25-16,1683570316,123781.82405662537,229471,c08,172.16.6.8,123781.82405662537,0,1,0.004220008850097656,"7_lambda_reg=0.0005,learning_rate=0.0006",0.3,False,64,5000,True,0.0006349045601419594,0.0005182561518763066,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00008,0.742,74.2,0.8830769230769231,0.07610682007720808,0.9238931799227919,0.9029482493987071,0.99258,0.00297606659729448,0.0,0.9845920648896715,25146.6570568052,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00014329338230115033,0.003784295673407159,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,126112.4799478054,True,,,1,f7ecf6f929634deeafc700ae794f79fa,2023-05-08_21-04-12,1683572652,126112.4799478054,229771,c08,172.16.6.8,126112.4799478054,0,1,0.0050814151763916016,"8_lambda_reg=0.0038,learning_rate=0.0001",0.3,False,64,5000,True,0.00014329338230115033,0.003784295673407159,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
6d6eb_00009,0.318,31.8,0.9682051282051283,0.04743512480581953,0.9525648751941805,0.9601711502960655,0.9968199999999999,0.0020187304890738832,0.0,0.9950841804743991,25167.141229190398,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010173995809011134,0.0009812283587378116,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,126201.0262773037,True,,,1,1af367a4ccfe41a6975aeca3f4cbe0aa,2023-05-08_21-05-41,1683572741,126201.0262773037,229777,c08,172.16.6.8,126201.0262773037,0,1,0.004651784896850586,"9_lambda_reg=0.0010,learning_rate=0.0001",0.3,False,64,5000,True,0.00010173995809011135,0.0009812283587378116,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
