trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/prethreshold,hparam/compute_weights,hparam/joint_learn,hparam/progress_rate,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/multiplier,config/prethreshold,config/compute_weights,config/joint_learn,config/progress_rate
50b5b_00000,5.168000000000001,516.8,0.4905008635578583,0.4326645412745468,0.5673354587254532,0.5237223147524466,0.94832,0.02354314828574462,0.0,0.832720199004209,3672.1802375401994,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00024400794123026416,0.07974967843980496,0.3,0.0,0.0,0.25,18315.502187252045,True,,,1,d0737fc1154a4a53a1b7312d9999f736,2023-05-21_00-30-51,1684621851,18315.502187252045,196876,c04,172.16.6.4,18315.502187252045,0,1,0.005427360534667969,"0_lambda_reg=0.0797,learning_rate=0.0002",0.3,False,64,5000,True,0.00024400794123026416,0.07974967843980496,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00001,3.3340000000000005,333.4,0.6732297063903282,0.26650459251173736,0.7334954074882627,0.7007912178523859,0.9666599999999999,0.015306230761065697,0.0,0.9658905737173722,3703.8144208394006,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.000865564664120707,0.01767454021715305,0.3,0.0,0.0,0.25,18474.92659497261,True,,,1,53161adb9cbd40f5ab7c93d40f2f3c2b,2023-05-21_00-33-35,1684622015,18474.92659497261,196955,c04,172.16.6.4,18474.92659497261,0,1,0.005113840103149414,"1_lambda_reg=0.0177,learning_rate=0.0009",0.3,False,64,5000,True,0.000865564664120707,0.01767454021715305,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00002,4.316,431.6,0.8151986183074266,0.40423007945021805,0.595769920549782,0.6871197752268567,0.95684,0.034454941089056376,0.0,0.9668201839897967,3727.1392538843997,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00021179700090872888,0.008793992232214118,0.3,0.0,0.0,0.25,18589.48694086075,True,,,1,86280692e5a04e4898e07445a6f384fe,2023-05-21_00-35-34,1684622134,18589.48694086075,197018,c04,172.16.6.4,18589.48694086075,0,1,0.0054514408111572266,"2_lambda_reg=0.0088,learning_rate=0.0002",0.3,False,64,5000,True,0.00021179700090872888,0.008793992232214118,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00003,3.742,374.2,0.9164075993091536,0.37687808203701206,0.6231219179629879,0.7408331728743012,0.9625800000000002,0.03458231610232461,0.0,0.9733492717093458,3707.8590384726,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006942533000604577,0.0003975294046184593,0.3,0.0,0.0,0.25,18495.711985349655,True,,,1,2a47900d32d046e9853b0b570fd680c3,2023-05-21_00-34-00,1684622040,18495.711985349655,197021,c04,172.16.6.4,18495.711985349655,0,1,0.005442619323730469,"3_lambda_reg=0.0004,learning_rate=0.0007",0.3,False,64,5000,True,0.0006942533000604577,0.0003975294046184593,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00004,3.684,368.4,0.7816925734024179,0.3395497824757938,0.6604502175242062,0.7129195559865078,0.96316,0.02568729434242647,0.0,0.9676141329066967,3694.2493528768,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00036298510763414614,0.012840657102178557,0.3,0.0,0.0,0.25,18424.640362024307,True,,,1,d7a67947d26549c3b7cf4d7a9b12699f,2023-05-21_00-32-49,1684621969,18424.640362024307,197023,c04,172.16.6.4,18424.640362024307,0,1,0.004954338073730469,"4_lambda_reg=0.0128,learning_rate=0.0004",0.3,False,64,5000,True,0.00036298510763414614,0.012840657102178557,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00005,5.1,510.0,0.909844559585492,0.4628916895506908,0.5371083104493092,0.6748443931964496,0.9490000000000001,0.048593567561829955,0.0,0.9665403549451039,3721.7567221642,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00021520623209463066,0.0007976009629964578,0.3,0.0,0.0,0.25,18563.076265335083,True,,,1,d3f70768516e4352a7fdee7488b3f726,2023-05-21_00-35-08,1684622108,18563.076265335083,197025,c04,172.16.6.4,18563.076265335083,0,1,0.005187273025512695,"5_lambda_reg=0.0008,learning_rate=0.0002",0.3,False,64,5000,True,0.00021520623209463064,0.0007976009629964577,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00006,3.9619999999999997,396.2,0.92573402417962,0.3938833079848578,0.6061166920151422,0.7314994480270888,0.96038,0.037490712238615866,0.0,0.9734767933835391,3696.950557262,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00044144421317310843,0.0001645137909888313,0.3,0.0,0.0,0.25,18442.089920043945,True,,,1,121b4feb652542f68a17542f4f29cfa2,2023-05-21_00-33-12,1684621992,18442.089920043945,197267,c04,172.16.6.4,18442.089920043945,0,1,0.006562232971191406,"6_lambda_reg=0.0002,learning_rate=0.0004",0.3,False,64,5000,True,0.00044144421317310843,0.0001645137909888313,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00007,4.392,439.2,0.8151986183074266,0.40892013653891074,0.5910798634610892,0.6836821350832919,0.95608,0.035261649506421834,0.0,0.9706889525275084,3688.1688041032003,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00016759366872487992,0.009112842970444719,0.3,0.0,0.0,0.25,18396.99304008484,True,,,1,ba86983643b9495289c698db1b4622fb,2023-05-21_00-32-27,1684621947,18396.99304008484,197270,c04,172.16.6.4,18396.99304008484,0,1,0.0063779354095458984,"7_lambda_reg=0.0091,learning_rate=0.0002",0.3,False,64,5000,True,0.00016759366872487992,0.009112842970444719,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00008,4.950000000000001,495.0,0.6476683937823834,0.43444528863339416,0.5655547113666058,0.6028511599278054,0.9504999999999999,0.03088844071754593,0.0,0.9403774392232546,3655.9698925531993,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00014252806649812317,0.026728695538380927,0.3,0.0,0.0,0.25,18233.148402690887,True,,,1,3de5cf2b7f7143a49dc749a6f7fbf878,2023-05-21_00-29-43,1684621783,18233.148402690887,197272,c04,172.16.6.4,18233.148402690887,0,1,0.0067789554595947266,"8_lambda_reg=0.0267,learning_rate=0.0001",0.3,False,64,5000,True,0.00014252806649812317,0.026728695538380927,"[10.0, 1000.0]",0.3,False,False,0.25
50b5b_00009,3.4900000000000007,349.0,0.9367875647668393,0.36310823597309466,0.6368917640269053,0.7576956186362691,0.9651,0.03315996178749603,0.0,0.9743234485703217,3699.514298331601,2.0,100.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.000705866126625641,0.0006476054896924102,0.3,0.0,0.0,0.25,18453.81090760231,True,,,1,91044230077e43fb84343831058cdf9f,2023-05-21_00-33-29,1684622009,18453.81090760231,197452,c04,172.16.6.4,18453.81090760231,0,1,0.006101369857788086,"9_lambda_reg=0.0006,learning_rate=0.0007",0.3,False,64,5000,True,0.000705866126625641,0.0006476054896924102,"[10.0, 1000.0]",0.3,False,False,0.25
