trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/initial_path_coefficient,hparam/path_decay_factor,hparam/max_steps,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/initial_path_coefficient,config/path_decay_factor,config/log_det_parameter,config/max_steps
c34af_00000,4.87,97.4,0.01616161616161616,0.3,0.7,0.03141516870133616,0.7565,0.0,0.04527015686035156,0.4773985704218262,3383.6897331496994,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0003163118147471935,0.002685368156461045,1.0,0.1,4.0,33789.613037109375,True,,,1,5e0ed6e4fa0b4708a39812543f7088d7,2023-05-20_01-32-43,1684539163,33789.613037109375,421558,c26,172.16.6.26,33789.613037109375,0,1,0.006318330764770508,"0_lambda_reg=0.0027,learning_rate=0.0003",0.3,False,64,7000,True,0.0003163118147471935,0.0026853681564610447,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00001,4.835,96.7,0.023232323232323233,0.1,0.9,0.04491626719233009,0.75825,0.0,0.047879791259765624,0.532759488573442,3397.7807225936,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00024856245696454945,0.0017743513832490843,1.0,0.1,4.0,33934.65580391884,True,,,1,80d11479ec3d477494d1844a29feb38e,2023-05-20_01-35-12,1684539312,33934.65580391884,421638,c26,172.16.6.26,33934.65580391884,0,1,0.004774808883666992,"1_lambda_reg=0.0018,learning_rate=0.0002",0.3,False,64,7000,True,0.00024856245696454945,0.001774351383249084,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00002,4.715000000000001,94.3,0.14545454545454545,0.3985216145016508,0.6014783854983492,0.23190769139765352,0.7642499999999999,0.03222591362126246,0.0638427734375,0.5457431457431458,3368.8468376724004,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00011623783254880558,0.00038570797563371444,1.0,0.1,4.0,33639.09982061386,True,,,1,dd4f9c7449b04a0989d99d663a8f3f65,2023-05-20_01-30-22,1684539022,33639.09982061386,421701,c26,172.16.6.26,33639.09982061386,0,1,0.0051136016845703125,"2_lambda_reg=0.0004,learning_rate=0.0001",0.3,False,64,7000,True,0.00011623783254880556,0.0003857079756337145,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00003,4.749999999999999,95.0,0.051515151515151514,0.1636111111111111,0.8363888888888888,0.09590577041715329,0.7625,0.0036544850498339,0.04768829345703125,0.4869995637437497,3377.3163432923,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00033963366811124156,0.0005109918543217323,1.0,0.1,4.0,33726.69885277748,True,,,1,63a24eb497684fcabcbf499656c81aa0,2023-05-20_01-31-49,1684539109,33726.69885277748,421703,c26,172.16.6.26,33726.69885277748,0,1,0.004111766815185547,"3_lambda_reg=0.0005,learning_rate=0.0003",0.3,False,64,7000,True,0.00033963366811124156,0.0005109918543217324,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00004,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.04463539123535156,0.42274237390516456,3371.982098505699,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0002894734605080558,0.09987162796690773,1.0,0.1,4.0,33672.12335681915,True,,,1,6f78e265f5c8463cbdceaadf523ce82d,2023-05-20_01-30-55,1684539055,33672.12335681915,421705,c26,172.16.6.26,33672.12335681915,0,1,0.0052490234375,"4_lambda_reg=0.0999,learning_rate=0.0003",0.3,False,64,7000,True,0.0002894734605080558,0.09987162796690773,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00005,4.905000000000001,98.1,0.00909090909090909,0.3,0.7,0.017920792079207923,0.7547499999999999,0.0,0.0461456298828125,0.5166851236618678,3394.3406444242,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00027358906484600484,0.0045411188300102994,1.0,0.1,4.0,33899.52975130081,True,,,1,e6d752fbdca14dd3953db9b7ec67e010,2023-05-20_01-34-42,1684539282,33899.52975130081,421707,c26,172.16.6.26,33899.52975130081,0,1,0.004614830017089844,"5_lambda_reg=0.0045,learning_rate=0.0003",0.3,False,64,7000,True,0.00027358906484600484,0.0045411188300102994,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00006,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.049106407165527347,0.47799926172019197,3395.5750297959994,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0001968276179760325,0.02271381751104881,1.0,0.1,4.0,33904.71118044853,True,,,1,2431075c285a4c0b8403d543e3cbf13c,2023-05-20_01-34-53,1684539293,33904.71118044853,421949,c26,172.16.6.26,33904.71118044853,0,1,0.004748821258544922,"6_lambda_reg=0.0227,learning_rate=0.0002",0.3,False,64,7000,True,0.0001968276179760325,0.02271381751104881,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00007,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.04473876953125,0.5349172791033256,3395.7887490160997,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0003127566939970344,0.014987156612721412,1.0,0.1,4.0,33906.36911249161,True,,,1,f889c7c940e147cd875a314cf4766621,2023-05-20_01-34-54,1684539294,33906.36911249161,421951,c26,172.16.6.26,33906.36911249161,0,1,0.004258394241333008,"7_lambda_reg=0.0150,learning_rate=0.0003",0.3,False,64,7000,True,0.00031275669399703445,0.014987156612721412,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00008,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.038322067260742186,0.4307560656397865,3380.8823115593004,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0007090793695493484,0.062391989673082814,1.0,0.1,4.0,33764.337010622025,True,,,1,0789b771a61a407c94ea783d51cfb6fb,2023-05-20_01-32-32,1684539152,33764.337010622025,421953,c26,172.16.6.26,33764.337010622025,0,1,0.005097627639770508,"8_lambda_reg=0.0624,learning_rate=0.0007",0.3,False,64,7000,True,0.0007090793695493485,0.062391989673082814,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00009,4.96,99.2,0.04646464646464647,0.44854427736006686,0.5514557226399331,0.08347705132420549,0.752,0.015946843853820593,0.043632125854492186,0.4757206617671734,3370.7798338102994,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.000562871710327156,0.00023252775306690314,1.0,0.1,4.0,33662.355812072754,True,,,1,517540f6ea494e11970d95ad9a4a4c4a,2023-05-20_01-30-50,1684539050,33662.355812072754,421955,c26,172.16.6.26,33662.355812072754,0,1,0.00579380989074707,"9_lambda_reg=0.0002,learning_rate=0.0006",0.3,False,64,7000,True,0.000562871710327156,0.0002325277530669031,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00010,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.05038890838623047,0.4628678814725326,3392.4260107707,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00017415360243439753,0.02397786006816819,1.0,0.1,4.0,33873.28880906105,True,,,1,5cb3c9340faa4377930879d004b57dfa,2023-05-20_01-34-21,1684539261,33873.28880906105,421957,c26,172.16.6.26,33873.28880906105,0,1,0.005601167678833008,"10_lambda_reg=0.0240,learning_rate=0.0002",0.3,False,64,7000,True,0.00017415360243439753,0.023977860068168193,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00011,4.8149999999999995,96.3,0.029292929292929294,0.05333333333333333,0.9466666666666667,0.05667498425807964,0.75925,0.0006644518272425293,0.04411792755126953,0.4589818450283567,3337.5729543612993,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0004114853150257211,0.0010670235702841323,1.0,0.1,4.0,33330.213354349136,True,,,1,6a32f64158744c0b9096e4eb128f4171,2023-05-20_01-25-23,1684538723,33330.213354349136,422259,c26,172.16.6.26,33330.213354349136,0,1,0.0064792633056640625,"11_lambda_reg=0.0011,learning_rate=0.0004",0.3,False,64,7000,True,0.0004114853150257211,0.0010670235702841323,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00012,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.05167312622070312,0.4822443706164636,3389.478082814299,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.00014641614233417468,0.032555055385668094,1.0,0.1,4.0,33850.151461839676,True,,,1,3d029aa207ff402babf66c387c9f06f7,2023-05-20_01-34-03,1684539243,33850.151461839676,422262,c26,172.16.6.26,33850.151461839676,0,1,0.005108833312988281,"12_lambda_reg=0.0326,learning_rate=0.0001",0.3,False,64,7000,True,0.00014641614233417468,0.03255505538566809,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
c34af_00013,4.950000000000001,99.0,0.0,1.0,0.0,0.0,0.7524999999999998,0.0,0.03845157623291016,0.4159904694788416,3391.2331823826,4.5,20.0,1000.0,0.29999999999999993,0.0,64.0,7000.0,1.0,0.0005872071267639416,0.08760504132495564,1.0,0.1,4.0,33869.27300477028,True,,,1,38f966689b0f45bcacb37e938dd5713d,2023-05-20_01-34-28,1684539268,33869.27300477028,422384,c26,172.16.6.26,33869.27300477028,0,1,0.004415988922119141,"13_lambda_reg=0.0876,learning_rate=0.0006",0.3,False,64,7000,True,0.0005872071267639416,0.08760504132495565,[10],1.0,0.1,"[1.0, 1.0, 1.0, 1.0]",4
