trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
74b34_00000,0.8,24.0,0.9299999999999999,0.12130542415426566,0.8786945758457343,0.9033825867461116,0.9733333333333333,0.020000000000000018,0.0,0.977938034188034,10658.991718706002,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010853973658962901,0.002144359331452055,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,53219.825164079666,True,,,1,526a05aeedfa41dfbd8bec57ba181b07,2023-05-12_14-49-07,1683895747,53219.825164079666,242234,c25,172.16.6.25,53219.825164079666,0,1,0.005193233489990234,"0_lambda_reg=0.0021,learning_rate=0.0001",0.3,False,64,5000,True,0.00010853973658962901,0.002144359331452055,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00001,0.8133333333333332,24.4,0.9333333333333333,0.12288246592441295,0.8771175340755871,0.9034010977561591,0.9728888888888889,0.021025641025641018,0.0,0.9803568376068375,10912.1388972184,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00036207063829541715,0.00021247835725345205,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54491.60277867317,True,,,1,1ddfbbd81ad34b128a543a5531ad0873,2023-05-12_15-10-24,1683897024,54491.60277867317,242313,c25,172.16.6.25,54491.60277867317,0,1,0.005718231201171875,"1_lambda_reg=0.0002,learning_rate=0.0004",0.3,False,64,5000,True,0.00036207063829541715,0.00021247835725345208,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00002,1.9933333333333336,59.8,0.7100000000000001,0.22047199068174264,0.7795280093182575,0.7414113494049219,0.9335555555555557,0.03205128205128205,0.0,0.9190299145299144,10994.23385121,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00039961344117743784,0.014074305214679606,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54884.98992919922,True,,,1,51e49cbd21cb44da831199e8954e5c43,2023-05-12_15-17-02,1683897422,54884.98992919922,242375,c25,172.16.6.25,54884.98992919922,0,1,0.005312204360961914,"2_lambda_reg=0.0141,learning_rate=0.0004",0.3,False,64,5000,True,0.0003996134411774379,0.014074305214679604,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00003,0.9400000000000001,28.2,0.9316666666666666,0.1496630319767071,0.8503369680232928,0.8888435378665204,0.9686666666666668,0.02564102564102564,0.0,0.973905982905983,10423.2771968972,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00012309084512392875,0.0012688491348824737,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,52037.104083538055,True,,,1,b385d352c4b949f6b2794da816a38a8f,2023-05-12_14-29-34,1683894574,52037.104083538055,242378,c25,172.16.6.25,52037.104083538055,0,1,0.005427837371826172,"3_lambda_reg=0.0013,learning_rate=0.0001",0.3,False,64,5000,True,0.00012309084512392875,0.0012688491348824737,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00004,2.9,87.0,0.46333333333333326,0.2896111314370297,0.7103888685629703,0.5600212594041241,0.9033333333333333,0.02897435897435898,0.0,0.7950705128205128,11239.889892815401,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00034575001678534983,0.043034603715327024,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56114.27371764183,True,,,1,5d0ed1ab40a44c4ab8ab99eab8f5e7fb,2023-05-12_15-37-37,1683898657,56114.27371764183,242502,c25,172.16.6.25,56114.27371764183,0,1,0.004774808883666992,"4_lambda_reg=0.0430,learning_rate=0.0003",0.3,False,64,5000,True,0.00034575001678534983,0.043034603715327024,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00005,0.8466666666666667,25.4,0.8466666666666667,0.06313531887215329,0.9368646811278467,0.8892123141487186,0.9717777777777779,0.008974358974358965,0.0,0.9545705128205129,10133.979792201,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006290227827794212,0.009835650447201982,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,50598.14857649803,True,,,1,95d5d94a453c4962913a1a03921c2da7,2023-05-12_14-05-40,1683893140,50598.14857649803,242504,c25,172.16.6.25,50598.14857649803,0,1,0.00477910041809082,"5_lambda_reg=0.0098,learning_rate=0.0006",0.3,False,64,5000,True,0.0006290227827794212,0.009835650447201982,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00006,1.2933333333333334,38.8,0.875,0.18677927526484708,0.8132207247351528,0.8416781283309529,0.9568888888888889,0.030512820512820494,0.0,0.9626623931623932,10840.3693436412,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0007260756785511535,0.0008656972189832222,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54126.67881011963,True,,,1,d49b152300ab4df3b16c41021339f063,2023-05-12_15-04-29,1683896669,54126.67881011963,242506,c25,172.16.6.25,54126.67881011963,0,1,0.0039653778076171875,"6_lambda_reg=0.0009,learning_rate=0.0007",0.3,False,64,5000,True,0.0007260756785511535,0.0008656972189832221,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00007,1.9133333333333333,57.4,0.6849999999999999,0.19443226927262403,0.805567730727376,0.7401727190652981,0.9362222222222222,0.025128205128205128,0.0,0.9059102564102565,11003.5487693184,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00018859362140077489,0.019126078272183048,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54934.8692510128,True,,,1,2c7ade109563403ba7acbb7c826847a1,2023-05-12_15-17-57,1683897477,54934.8692510128,242508,c25,172.16.6.25,54934.8692510128,0,1,0.004818916320800781,"7_lambda_reg=0.0191,learning_rate=0.0002",0.3,False,64,5000,True,0.00018859362140077489,0.019126078272183048,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00008,2.413333333333333,72.4,0.5533333333333333,0.21855466696717146,0.7814453330328285,0.6477437098376736,0.9195555555555556,0.024102564102564106,0.0,0.8556623931623932,10695.9422470636,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00048783682297780657,0.04162373715906707,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,53402.45775651932,True,,,1,1b23bcd475d14c7a8632c5ee0acc274e,2023-05-12_14-52-25,1683895945,53402.45775651932,242510,c25,172.16.6.25,53402.45775651932,0,1,0.00480198860168457,"8_lambda_reg=0.0416,learning_rate=0.0005",0.3,False,64,5000,True,0.0004878368229778065,0.04162373715906707,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
74b34_00009,1.8133333333333332,54.4,0.67,0.1555905723524542,0.8444094276475458,0.7471097073427799,0.9395555555555557,0.018974358974358972,0.0,0.904309829059829,11025.7850579836,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00021114837175795266,0.02361484619094076,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55049.818078517914,True,,,1,ce2a6970f8bd404a926efb23dcb5b597,2023-05-12_15-19-57,1683897597,55049.818078517914,242811,c25,172.16.6.25,55049.818078517914,0,1,0.004622459411621094,"9_lambda_reg=0.0236,learning_rate=0.0002",0.3,False,64,5000,True,0.00021114837175795266,0.02361484619094076,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
