trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
bfcce_00000,4.086666666666666,122.6,0.6722222222222223,0.3406371117500351,0.6593628882499649,0.6652450292753521,0.8637777777777778,0.08833333333333335,0.0,0.8879953703703702,11359.182117897002,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0005735039059121704,0.00404345307902992,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56708.51444578171,True,,,1,29ed530d4e344d129d1efb0c7e2142e1,2023-05-23_06-39-27,1684816767,56708.51444578171,103853,c01,172.16.6.1,56708.51444578171,0,1,0.00527644157409668,"0_lambda_reg=0.0040,learning_rate=0.0006",0.3,False,64,5000,True,0.0005735039059121704,0.00404345307902992,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00001,3.8466666666666662,115.4,0.8466666666666667,0.35669935118705987,0.6433006488129401,0.7294084684179535,0.8717777777777777,0.12194444444444445,0.0,0.9265108024691358,11429.888435071201,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001201288060566858,0.00024450575237865477,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,57060.444677352905,True,,,1,85bcb8723ffd460db4d9ca297fc589a4,2023-05-23_06-45-24,1684817124,57060.444677352905,103932,c01,172.16.6.1,57060.444677352905,0,1,0.005605220794677734,"1_lambda_reg=0.0002,learning_rate=0.0001",0.3,False,64,5000,True,0.0001201288060566858,0.00024450575237865477,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00002,3.0066666666666664,90.2,0.8699999999999999,0.2952421410737297,0.7047578589262703,0.7781495199416273,0.8997777777777778,0.09277777777777778,0.0,0.9423225308641975,10695.5626280938,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00022667931518901592,0.0002857533949875041,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,53406.29211306572,True,,,1,6d6bd83c72d4476db229f8f5b1b128d8,2023-05-23_05-44-35,1684813475,53406.29211306572,103995,c01,172.16.6.1,53406.29211306572,0,1,0.004946708679199219,"2_lambda_reg=0.0003,learning_rate=0.0002",0.3,False,64,5000,True,0.00022667931518901592,0.0002857533949875041,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00003,2.506666666666667,75.2,0.8788888888888888,0.24661964619708893,0.7533803538029111,0.8103628612548995,0.9164444444444445,0.07416666666666667,0.0,0.9555555555555557,11074.400213430998,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00013905486287614738,0.0005595658732499587,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55295.87128043175,True,,,1,a621009ce1974243823058cb4bb8e0ab,2023-05-23_06-16-10,1684815370,55295.87128043175,104057,c01,172.16.6.1,55295.87128043175,0,1,0.002730846405029297,"3_lambda_reg=0.0006,learning_rate=0.0001",0.3,False,64,5000,True,0.00013905486287614738,0.0005595658732499587,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00004,2.986666666666667,89.6,0.6988888888888889,0.21799446077176948,0.7820055392282306,0.7377105937859081,0.9004444444444444,0.04916666666666667,0.0,0.9157283950617284,11145.917504271198,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0002675790753114184,0.004741668541888412,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55656.206751823425,True,,,1,4cb891c384dc4540b6574f9edc7ab91b,2023-05-23_06-22-10,1684815730,55656.206751823425,104060,c01,172.16.6.1,55656.206751823425,0,1,0.005651235580444336,"4_lambda_reg=0.0047,learning_rate=0.0003",0.3,False,64,5000,True,0.0002675790753114184,0.004741668541888412,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00005,2.506666666666667,75.2,0.8066666666666666,0.20955964971444846,0.7904403502855516,0.7974062554011185,0.9164444444444445,0.05611111111111113,0.0,0.9440432098765432,11108.193410838,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00014397321392820893,0.0032836294575504786,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55464.427870988846,True,,,1,bb264cb927f54c6abb6ed3dd4598705b,2023-05-23_06-18-58,1684815538,55464.427870988846,104062,c01,172.16.6.1,55464.427870988846,0,1,0.004925727844238281,"5_lambda_reg=0.0033,learning_rate=0.0001",0.3,False,64,5000,True,0.00014397321392820893,0.0032836294575504786,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00006,3.2,96.0,0.8011111111111111,0.2875506330033031,0.7124493669966969,0.753200344440933,0.8933333333333333,0.08361111111111111,0.0,0.922236111111111,11167.4913766678,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00018115213647503612,0.0012071882015629682,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55753.81224131584,True,,,1,0c0d6d788bc04e7e9e7e388dc07ce3ab,2023-05-23_06-23-48,1684815828,55753.81224131584,104064,c01,172.16.6.1,55753.81224131584,0,1,0.005413055419921875,"6_lambda_reg=0.0012,learning_rate=0.0002",0.3,False,64,5000,True,0.00018115213647503612,0.0012071882015629682,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00007,4.1,123.0,0.8088888888888889,0.37479838088752826,0.6252016191124719,0.7047820942105723,0.8633333333333333,0.12305555555555554,0.0,0.9159537037037037,11288.351112983,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00011496179011928167,0.0002987928293203482,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56358.5460460186,True,,,1,e70251d75c774d74ae8604a530d9d5c3,2023-05-23_06-33-52,1684816432,56358.5460460186,104066,c01,172.16.6.1,56358.5460460186,0,1,0.003760814666748047,"7_lambda_reg=0.0003,learning_rate=0.0001",0.3,False,64,5000,True,0.00011496179011928166,0.0002987928293203482,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00008,2.82,84.6,0.8466666666666667,0.27055878310833364,0.7294412168916663,0.7832608319266973,0.906,0.07916666666666665,0.0,0.9430370370370371,10891.560520761801,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00036656143005325207,0.00013081729745245305,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54381.36910867691,True,,,1,6ab651f8203e4074a2c7b83396c17a6d,2023-05-23_06-00-55,1684814455,54381.36910867691,104068,c01,172.16.6.1,54381.36910867691,0,1,0.004229545593261719,"8_lambda_reg=0.0001,learning_rate=0.0004",0.3,False,64,5000,True,0.00036656143005325207,0.00013081729745245305,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
bfcce_00009,5.013333333333334,150.4,0.4211111111111111,0.37852611161738886,0.6214738883826112,0.5016303217922112,0.8328888888888889,0.06416666666666666,0.0,0.8231527777777778,11338.088186436798,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006685693212875828,0.02352986199835207,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56607.78447127342,True,,,1,1e37f466c374493ca33422a2e1781939,2023-05-23_06-38-02,1684816682,56607.78447127342,104070,c01,172.16.6.1,56607.78447127342,0,1,0.003084897994995117,"9_lambda_reg=0.0235,learning_rate=0.0007",0.3,False,64,5000,True,0.0006685693212875828,0.02352986199835207,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
