trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/init_penalty,hparam/penalty_fact,hparam/max_penalty,hparam/multiplier,hparam/dagness_tol,hparam/progress_rate,hparam/max_iter,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/hidden_size,config/init_penalty,config/penalty_fact,config/max_penalty,config/multiplier,config/dagness_tol,config/progress_rate,config/max_iter
c68b5_00000,3.5,105.0,0.7733333333333334,0.3037189764275443,0.6962810235724557,0.7304897658246846,0.8833333333333332,0.08916666666666666,0.0,0.9193996913580247,11360.7884574752,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0004888050474361084,0.0005591036500938498,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56719.876091718674,True,,,1,a02005509f4b4e45adc913b2b6be2480,2023-05-23_06-39-50,1684816790,56719.876091718674,354480,c02,172.16.6.2,56719.876091718674,0,1,0.005236387252807617,"0_lambda_reg=0.0006,learning_rate=0.0005",0.3,False,64,5000,True,0.0004888050474361084,0.0005591036500938498,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00001,5.5600000000000005,166.8,0.2444444444444444,0.4129842189773697,0.5870157810226303,0.344623204380535,0.8146666666666667,0.04277777777777776,0.0,0.6514043209876543,11531.5924390516,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00013779582038025382,0.09000908512753547,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,57575.715958833694,True,,,1,ad0a904b8e204e4dba9224b5f6ac6ed9,2023-05-23_06-54-10,1684817650,57575.715958833694,354559,c02,172.16.6.2,57575.715958833694,0,1,0.006612539291381836,"1_lambda_reg=0.0900,learning_rate=0.0001",0.3,False,64,5000,True,0.00013779582038025382,0.09000908512753547,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00002,3.333333333333333,100.0,0.8600000000000001,0.31908174115453936,0.6809182588454605,0.758806628140972,0.888888888888889,0.10388888888888885,0.0,0.938287037037037,11458.6602941384,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010449414616299931,0.00014937704025593012,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,57212.49866938591,True,,,1,80ca22cc2e724b89bad2a8e01c4ca105,2023-05-23_06-48-12,1684817292,57212.49866938591,354622,c02,172.16.6.2,57212.49866938591,0,1,0.004044055938720703,"2_lambda_reg=0.0001,learning_rate=0.0001",0.3,False,64,5000,True,0.00010449414616299931,0.00014937704025593012,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00003,3.7266666666666666,111.8,0.6477777777777778,0.2922888461795746,0.7077111538204253,0.6758591823464437,0.8757777777777778,0.06722222222222221,0.0,0.8993888888888888,11383.1470197538,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0006610920994222328,0.006732841688485492,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,56838.23787999153,True,,,1,dadd9a80b2dd45aba4d0e332fbe926e1,2023-05-23_06-41-58,1684816918,56838.23787999153,354624,c02,172.16.6.2,56838.23787999153,0,1,0.004140138626098633,"3_lambda_reg=0.0067,learning_rate=0.0007",0.3,False,64,5000,True,0.0006610920994222328,0.006732841688485492,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00004,2.54,76.2,0.8877777777777778,0.257021450878109,0.742978549121891,0.8085327547343324,0.9153333333333334,0.07777777777777777,0.0,0.9559567901234567,10881.609168660998,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00010806208444188673,0.0005218881423754854,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54331.638342380524,True,,,1,587a7337902c46bb95d6466e2cc9c216,2023-05-23_06-00-11,1684814411,54331.638342380524,354626,c02,172.16.6.2,54331.638342380524,0,1,0.0044879913330078125,"4_lambda_reg=0.0005,learning_rate=0.0001",0.3,False,64,5000,True,0.00010806208444188672,0.0005218881423754854,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00005,3.1333333333333333,94.0,0.8455555555555556,0.2968953757786402,0.7031046242213599,0.7671190830505737,0.8955555555555555,0.09194444444444445,0.0,0.9381574074074074,10634.930427001,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001164981520622958,0.0003782385471844917,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,53099.58781147003,True,,,1,1e23ba932ff341bd88a390abf925df72,2023-05-23_05-39-39,1684813179,53099.58781147003,354628,c02,172.16.6.2,53099.58781147003,0,1,0.0047914981842041016,"5_lambda_reg=0.0004,learning_rate=0.0001",0.3,False,64,5000,True,0.0001164981520622958,0.0003782385471844917,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00006,3.1933333333333334,95.8,0.8355555555555556,0.3035715113713298,0.6964284886286702,0.7592917513268368,0.8935555555555554,0.09194444444444443,0.0,0.9364614197530866,11160.8840984832,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0004111889462553238,0.00021828606486075153,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,55730.13856077194,True,,,1,332e86fb9e254f8fbb20c34cb09e22dd,2023-05-23_06-23-30,1684815810,55730.13856077194,354630,c02,172.16.6.2,55730.13856077194,0,1,0.00436091423034668,"6_lambda_reg=0.0002,learning_rate=0.0004",0.3,False,64,5000,True,0.0004111889462553239,0.00021828606486075153,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00007,2.7199999999999998,81.6,0.8644444444444443,0.26336736528823035,0.7366326347117695,0.7946472280925887,0.9093333333333333,0.07944444444444446,0.0,0.9448981481481482,10939.498406149,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.00021967561334175105,0.0004029018255146333,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54636.43768644333,True,,,1,0819511dc82242be99b486269b256d63,2023-05-23_06-05-16,1684814716,54636.43768644333,354632,c02,172.16.6.2,54636.43768644333,0,1,0.00464177131652832,"7_lambda_reg=0.0004,learning_rate=0.0002",0.3,False,64,5000,True,0.00021967561334175102,0.0004029018255146334,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00008,1.9933333333333334,59.8,0.8966666666666667,0.19616754646719828,0.8038324535328017,0.8463766321816089,0.9335555555555557,0.057222222222222216,0.0,0.9588425925925925,10955.2965474218,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0001380708679200242,0.0005289587860842235,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,54703.89043354988,True,,,1,7c6860ecb19441aba75d3a487f638a88,2023-05-23_06-06-29,1684814789,54703.89043354988,354994,c02,172.16.6.2,54703.89043354988,0,1,0.004259824752807617,"8_lambda_reg=0.0005,learning_rate=0.0001",0.3,False,64,5000,True,0.0001380708679200242,0.0005289587860842235,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
c68b5_00009,4.886666666666668,146.6,0.3822222222222222,0.3407332916151501,0.6592667083848499,0.4837392225152074,0.837111111111111,0.04916666666666669,0.0,0.7737145061728395,11429.8021812126,2.0,30.0,1000.0,0.3,0.0,64.0,5000.0,1.0,0.0003373823333216249,0.03444259359167026,1.0,10.0,1e+16,1.0,1e-08,0.25,100.0,57078.42506933212,True,,,1,dad985baa3d042078b3693bfdd0ff641,2023-05-23_06-46-04,1684817164,57078.42506933212,354996,c02,172.16.6.2,57078.42506933212,0,1,0.004825115203857422,"9_lambda_reg=0.0344,learning_rate=0.0003",0.3,False,64,5000,True,0.0003373823333216249,0.03444259359167026,,1.0,10.0,1e+16,1.0,1e-08,0.25,100
