trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/FPR,eval/dagness,eval/roc_auc,eval/time,eval/priority_l2_norm,eval/priority_diff_mean,eval/priority_diff_std,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/adj_reg,hparam/priority_reg,hparam/init_temperature,hparam/temperature,hparam/shift,hparam/hard_threshold,hparam/symmetric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/adj_reg,config/priority_reg,config/hidden_size,config/init_temperature,config/temperature,config/shift,config/hard_threshold,config/anneal,config/symmetric
d79fa_00000,147.58925,118071.4,0.6539583333333334,0.9733067703655072,0.026693229634492742,0.05127403967717277,0.8155134374999999,0.18326574307304785,0.0,0.8101110897158375,1424.7647107001999,335.6476135253906,7.051900386810303,6.520397186279297,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.05435164459700313,0.048899802322601695,0.02258572959855614,0.45,0.002,0.01,0.0,0.0,7116.725432872772,True,,,1,ae7a8d90cafd40da9a3b1432ab7a2057,2023-05-03_09-37-56,1683099476,7116.725432872772,89937,hostname,127.0.0.1,7116.725432872772,0,1,0.0038611888885498047,"0_adj_reg=0.0489,learning_rate=0.0544,priority_reg=0.0226",0.3,False,64,2000,False,0.05435164459700314,0.048899802322601695,0.02258572959855614,,0.45,0.002,0.01,False,cosine,False
d79fa_00001,50.92049999999999,40736.4,0.6391666666666667,0.9256271055926669,0.07437289440733308,0.1330570467205741,0.936349375,0.06140491183879095,0.0,0.9115648586403233,1564.6548410614,15.273590087890625,0.2463456094264984,0.21422222256660461,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0014011799073671098,0.06282822047274267,0.020207209760760854,0.45,0.002,0.01,0.0,0.0,7852.35169506073,True,,,1,e7d34d30f0274e2d8a5d9eba2b05ac83,2023-05-03_09-50-18,1683100218,7852.35169506073,90000,hostname,127.0.0.1,7852.35169506073,0,1,0.005361080169677734,"1_adj_reg=0.0628,learning_rate=0.0014,priority_reg=0.0202",0.3,False,64,2000,False,0.0014011799073671098,0.06282822047274267,0.020207209760760854,,0.45,0.002,0.01,False,cosine,False
d79fa_00002,44.1235,35298.8,0.7057916666666667,0.9047144851896209,0.09528551481037892,0.1673175416848543,0.9448456249999999,0.053347921914357645,0.0,0.9330478824582809,1281.5793182178,19.868511199951172,0.30617856979370117,0.29503685235977173,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.002770342062802563,0.02650880076488981,0.011921135505630098,0.45,0.002,0.01,0.0,0.0,6434.127378463745,True,,,1,a42d5a1974c2442bb69046bc7f5d5ba4,2023-05-03_09-26-40,1683098800,6434.127378463745,90003,hostname,127.0.0.1,6434.127378463745,0,1,0.007076263427734375,"2_adj_reg=0.0265,learning_rate=0.0028,priority_reg=0.0119",0.3,False,64,2000,False,0.002770342062802563,0.02650880076488981,0.011921135505630098,,0.45,0.002,0.01,False,cosine,False
d79fa_00003,201.16924999999998,160935.4,0.6857083333333333,0.9796178846987937,0.02038211530120628,0.039581984775193986,0.7485384375,0.2509867758186398,0.0,0.7861547965207809,1710.0696076139998,527.6865234375,11.03268051147461,9.81902027130127,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.08167418282728395,0.012143654125298326,0.02673728378165228,0.45,0.002,0.01,0.0,0.0,8546.20585513115,True,,,1,f7ccd8baf3be4762af52ea0274467883,2023-05-03_10-01-52,1683100912,8546.20585513115,90006,hostname,127.0.0.1,8546.20585513115,0,1,0.006438732147216797,"3_adj_reg=0.0121,learning_rate=0.0817,priority_reg=0.0267",0.3,False,64,2000,False,0.08167418282728395,0.012143654125298326,0.02673728378165228,,0.45,0.002,0.01,False,cosine,False
d79fa_00004,44.76925,35815.4,0.68675,0.9105708866766014,0.08942911332339863,0.15804134888679883,0.9440384375,0.05401731738035265,0.0,0.9283096828754722,1334.2247514662,14.926292419433594,0.24739043414592743,0.2163887768983841,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.0014935018107270672,0.03156444454921716,0.007166117532861451,0.45,0.002,0.01,0.0,0.0,6696.891436100006,True,,,1,3badfcc32ddf4c30a04f1a82a327aeb8,2023-05-03_09-31-02,1683099062,6696.891436100006,90008,hostname,127.0.0.1,6696.891436100006,0,1,0.005940675735473633,"4_adj_reg=0.0316,learning_rate=0.0015,priority_reg=0.0072",0.3,False,64,2000,False,0.0014935018107270672,0.03156444454921716,0.007166117532861451,,0.45,0.002,0.01,False,cosine,False
d79fa_00005,68.64250000000001,54914.0,0.6732083333333334,0.9415012885627425,0.058498711437257475,0.10750302442383211,0.914196875,0.08398205289672542,0.0,0.884884380247691,1914.4786886718,130.43728637695312,2.554189920425415,2.5279574394226074,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.022495431009369835,0.08891813637322292,0.0231679987204037,0.45,0.002,0.01,0.0,0.0,9566.081067085266,True,,,1,37c28d33b1fa493ba1aa5dd99dcc810a,2023-05-03_10-18-51,1683101931,9566.081067085266,90010,hostname,127.0.0.1,9566.081067085266,0,1,0.0056231021881103516,"5_adj_reg=0.0889,learning_rate=0.0225,priority_reg=0.0232",0.3,False,64,2000,False,0.022495431009369835,0.08891813637322292,0.0231679987204037,,0.45,0.002,0.01,False,cosine,False
d79fa_00006,39.397749999999995,31518.2,0.7151250000000001,0.8884333535030204,0.11156664649697956,0.19132414113625978,0.9507528125,0.047466624685138535,0.0,0.9347840330473343,1238.3384875434,27.730792999267578,0.4419746398925781,0.40998855233192444,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.005721038846226226,0.0753036187781333,0.004431905247749449,0.45,0.002,0.01,0.0,0.0,6207.474942207336,True,,,1,6fe92b10bda34a83b08400ca22e6992e,2023-05-03_09-22-52,1683098572,6207.474942207336,90012,hostname,127.0.0.1,6207.474942207336,0,1,0.0034902095794677734,"6_adj_reg=0.0753,learning_rate=0.0057,priority_reg=0.0044",0.3,False,64,2000,False,0.005721038846226226,0.0753036187781333,0.004431905247749449,,0.45,0.002,0.01,False,cosine,False
d79fa_00007,78.6095,62887.6,0.6879583333333333,0.9486169659376994,0.05138303406230067,0.09559748450898546,0.9017381250000002,0.09664641057934506,0.0,0.8838797834999476,1531.0838346491998,121.02909088134766,2.160064220428467,2.071422815322876,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.020685098441329614,0.016575073678380205,0.022147083432150556,0.45,0.002,0.01,0.0,0.0,7654.506298303604,True,,,1,cc9410ddb946491d842e7a56c3c1184a,2023-05-03_09-47-00,1683100020,7654.506298303604,90015,hostname,127.0.0.1,7654.506298303604,0,1,0.005988359451293945,"7_adj_reg=0.0166,learning_rate=0.0207,priority_reg=0.0221",0.3,False,64,2000,False,0.020685098441329614,0.016575073678380205,0.022147083432150556,,0.45,0.002,0.01,False,cosine,False
d79fa_00008,60.992,48793.6,0.6530416666666667,0.9340605691331791,0.06593943086682086,0.11927197792458051,0.9237599999999999,0.07419426952141057,0.0,0.8911189704358208,1866.8183037765998,62.26111602783203,1.0562031269073486,0.9656532406806946,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.011269051566476286,0.0744110128870961,0.013008537596595982,0.45,0.002,0.01,0.0,0.0,9332.958089590073,True,,,1,e190345ec03242ad942e5df5a3061dbc,2023-05-03_10-14-57,1683101697,9332.958089590073,90017,hostname,127.0.0.1,9332.958089590073,0,1,0.0041849613189697266,"8_adj_reg=0.0744,learning_rate=0.0113,priority_reg=0.0130",0.3,False,64,2000,False,0.011269051566476286,0.0744110128870961,0.013008537596595982,,0.45,0.002,0.01,False,cosine,False
d79fa_00009,56.55575,45244.6,0.42283333333333334,0.953194513214029,0.04680548678597098,0.08419969354410747,0.9293053125,0.06686744332493702,0.0,0.7502389284542925,1059.2130739686,8.556825637817383,0.14939451217651367,0.1150035411119461,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00029527906943448715,0.031044851591423096,0.0064046040335530244,0.45,0.002,0.01,0.0,0.0,5343.88586640358,True,,,1,604d13f4695c41a2b88d5df164cd9fa4,2023-05-03_09-08-29,1683097709,5343.88586640358,90020,hostname,127.0.0.1,5343.88586640358,0,1,0.006647825241088867,"9_adj_reg=0.0310,learning_rate=0.0003,priority_reg=0.0064",0.3,False,64,2000,False,0.00029527906943448715,0.031044851591423093,0.0064046040335530244,,0.45,0.002,0.01,False,cosine,False
d79fa_00010,52.056000000000004,41644.8,0.5598333333333334,0.9349432099357344,0.06505679006426562,0.11641558254837765,0.9349299999999999,0.062235516372795965,0.0,0.8542817218658166,1362.7487636918001,8.369196891784668,0.12325771152973175,0.10092344135046005,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00039909546585165676,0.026806410412508648,0.003273385327625286,0.45,0.002,0.01,0.0,0.0,6854.945553779602,True,,,1,a34094c154964a86bc2bba777ad3fdd0,2023-05-03_09-33-41,1683099221,6854.945553779602,90023,hostname,127.0.0.1,6854.945553779602,0,1,0.0060765743255615234,"10_adj_reg=0.0268,learning_rate=0.0004,priority_reg=0.0033",0.3,False,64,2000,False,0.00039909546585165676,0.026806410412508648,0.003273385327625286,,0.45,0.002,0.01,False,cosine,False
d79fa_00011,48.02675000000001,38421.4,0.703125,0.9144020248083653,0.08559797519163467,0.1523795345740271,0.9399665625000001,0.058243702770780836,0.0,0.9283129147643786,1319.5865361233998,21.809513092041016,0.3328782021999359,0.32325997948646545,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.003084625588700995,0.01907450887038877,0.002570729182986382,0.45,0.002,0.01,0.0,0.0,6628.21652674675,True,,,1,32f4bad92d844f65ae8f11a22fd7b26d,2023-05-03_09-29-52,1683098992,6628.21652674675,90024,hostname,127.0.0.1,6628.21652674675,0,1,0.00461268424987793,"11_adj_reg=0.0191,learning_rate=0.0031,priority_reg=0.0026",0.3,False,64,2000,False,0.003084625588700995,0.01907450887038877,0.002570729182986382,,0.45,0.002,0.01,False,cosine,False
d79fa_00012,39.386,31508.8,0.7519583333333333,0.8925323784304124,0.10746762156958749,0.1878944614765555,0.9507675000000001,0.047730163727959705,0.0,0.9454400829463161,1840.5149625958002,22.206233978271484,0.3447662889957428,0.3429057002067566,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.003985923581495727,0.014592095817698594,0.0046095619799408705,0.45,0.002,0.01,0.0,0.0,9223.296920537949,True,,,1,416894b5980c47f1a26e5b92c1c8282b,2023-05-03_10-13-08,1683101588,9223.296920537949,90027,hostname,127.0.0.1,9223.296920537949,0,1,0.0034389495849609375,"12_adj_reg=0.0146,learning_rate=0.0040,priority_reg=0.0046",0.3,False,64,2000,False,0.003985923581495727,0.014592095817698594,0.0046095619799408705,,0.45,0.002,0.01,False,cosine,False
d79fa_00013,54.27075,43416.6,0.6964583333333334,0.9173638914230835,0.08263610857691658,0.14639066718301685,0.9321615624999999,0.0660573047858942,0.0,0.9116927691409529,1798.5252616953999,31.541790008544922,0.43646949529647827,0.44924989342689514,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.006807144633799776,0.030929080066078217,0.06948137703529503,0.45,0.002,0.01,0.0,0.0,9003.897179841995,True,,,1,ad733aaec1204b8185ce8fc24d2d9209,2023-05-03_10-09-28,1683101368,9003.897179841995,90029,hostname,127.0.0.1,9003.897179841995,0,1,0.003839731216430664,"13_adj_reg=0.0309,learning_rate=0.0068,priority_reg=0.0695",0.3,False,64,2000,False,0.006807144633799776,0.030929080066078217,0.06948137703529503,,0.45,0.002,0.01,False,cosine,False
d79fa_00014,188.03450000000004,150427.6,0.6516666666666667,0.9793851745376401,0.020614825462360032,0.03996302029276323,0.764956875,0.23418702770780855,0.0,0.7758849551322419,1412.2472677667997,516.8394775390625,10.697772979736328,9.535801887512207,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.07869065962549927,0.0810340047121912,0.007991784960826647,0.45,0.002,0.01,0.0,0.0,7054.35422039032,True,,,1,cdf8227d005d46809dfa3c43f1568121,2023-05-03_09-37-00,1683099420,7054.35422039032,90031,hostname,127.0.0.1,7054.35422039032,0,1,0.007920503616333008,"14_adj_reg=0.0810,learning_rate=0.0787,priority_reg=0.0080",0.3,False,64,2000,False,0.07869065962549927,0.0810340047121912,0.007991784960826647,,0.45,0.002,0.01,False,cosine,False
d79fa_00015,46.04875,36839.0,0.6921666666666667,0.9124715984395323,0.08752840156046775,0.15522836667009837,0.9424390625000001,0.055669710327455935,0.0,0.9192726860634446,1863.9215209141998,34.455039978027344,0.5616840720176697,0.5311769247055054,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.008135950375635087,0.07223462823992935,0.030115256137401136,0.45,0.002,0.01,0.0,0.0,9326.220584869385,True,,,1,796c55ea28f844b2b569a37de8e62b07,2023-05-03_10-14-50,1683101690,9326.220584869385,90034,hostname,127.0.0.1,9326.220584869385,0,1,0.0040645599365234375,"15_adj_reg=0.0722,learning_rate=0.0081,priority_reg=0.0301",0.3,False,64,2000,False,0.008135950375635087,0.07223462823992935,0.03011525613740114,,0.45,0.002,0.01,False,cosine,False
d79fa_00016,174.4355,139548.4,0.633625,0.9779133475878709,0.022086652412129183,0.04265589876895217,0.7819556249999999,0.2169234886649874,0.0,0.7789780130601911,1475.835582182,420.83758544921875,8.980154991149902,8.133298873901367,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.06738218635540515,0.09529945994385991,0.09452909148638312,0.45,0.002,0.01,0.0,0.0,7368.59775519371,True,,,1,496534623aa843d58efba809b8014ea6,2023-05-03_09-42-14,1683099734,7368.59775519371,90037,hostname,127.0.0.1,7368.59775519371,0,1,0.005684852600097656,"16_adj_reg=0.0953,learning_rate=0.0674,priority_reg=0.0945",0.3,False,64,2000,False,0.06738218635540515,0.09529945994385991,0.09452909148638312,,0.45,0.002,0.01,False,cosine,False
d79fa_00017,39.73825,31790.6,0.7118333333333333,0.8924574383134264,0.10754256168657358,0.18571369257575293,0.9503271875000001,0.04787059193954659,0.0,0.9375643244253778,1680.1880090675998,21.975448608398438,0.33113420009613037,0.3155125677585602,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.003427625831326103,0.06530879934284221,0.00842152140109649,0.45,0.002,0.01,0.0,0.0,8420.548602819443,True,,,1,59e7ff7219df492eaca2bba15ce4663e,2023-05-03_09-59-45,1683100785,8420.548602819443,90038,hostname,127.0.0.1,8420.548602819443,0,1,0.003893613815307617,"17_adj_reg=0.0653,learning_rate=0.0034,priority_reg=0.0084",0.3,False,64,2000,False,0.003427625831326103,0.06530879934284221,0.00842152140109649,,0.45,0.002,0.01,False,cosine,False
d79fa_00018,44.961499999999994,35969.2,0.40766666666666673,0.9437689152057771,0.05623108479422297,0.09873709150257853,0.943798125,0.05215050377833754,0.0,0.7542832183105059,1320.5426725332,8.025797843933105,0.14528928697109222,0.11019273102283478,2.0,800.0,1000.0,0.3,0.0,64.0,2000.0,0.0,0.00017289307970020775,0.08164395874375262,0.005532403254402392,0.45,0.002,0.01,0.0,0.0,6638.2043488025665,True,,,1,cb1713adb82d45648db53ac300b2d77b,2023-05-03_09-30-04,1683099004,6638.2043488025665,90040,hostname,127.0.0.1,6638.2043488025665,0,1,0.006369352340698242,"18_adj_reg=0.0816,learning_rate=0.0002,priority_reg=0.0055",0.3,False,64,2000,False,0.00017289307970020775,0.08164395874375262,0.005532403254402392,,0.45,0.002,0.01,False,cosine,False
