model,nodes,time
cosmo,10,0.15082058906555176
cosmo,10,0.14972634315490724
cosmo,10,0.1420473575592041
cosmo,10,0.1552955150604248
cosmo,10,0.14752793312072754
cosmo,20,0.15120491981506348
cosmo,20,0.162730073928833
cosmo,20,0.1417992115020752
cosmo,20,0.14222588539123535
cosmo,20,0.14558863639831543
cosmo,50,0.15468263626098633
cosmo,50,0.16008682250976564
cosmo,50,0.14975624084472655
cosmo,50,0.1514909267425537
cosmo,50,0.15961999893188478
cosmo,100,0.19731459617614747
cosmo,100,0.20275382995605468
cosmo,100,0.20665497779846193
cosmo,100,0.2090534210205078
cosmo,100,0.20440077781677246
cosmo,250,0.22953462600708008
cosmo,250,0.22302827835083008
cosmo,250,0.24125995635986328
cosmo,250,0.23306689262390137
cosmo,250,0.2389204978942871
cosmo,500,0.2947288990020752
cosmo,500,0.3072455406188965
cosmo,500,0.2911085605621338
cosmo,500,0.29506826400756836
cosmo,500,0.30380539894104003
cosmo,1000,0.4390272617340088
cosmo,1000,0.4835259437561035
cosmo,1000,0.46775240898132325
cosmo,1000,0.4875633239746094
cosmo,1000,0.49585447311401365
cosmo,2000,0.9756113529205322
cosmo,2000,1.0278188705444335
cosmo,2000,1.0446057796478272
cosmo,2000,1.0920875072479248
cosmo,2000,1.0963858604431151
cosmo,4000,3.1799156188964846
cosmo,4000,3.282234001159668
cosmo,4000,3.1482409477233886
cosmo,4000,2.9659337043762206
cosmo,4000,3.025761079788208
cosmo,8000,10.486493349075317
cosmo,8000,10.602971410751342
cosmo,8000,10.513739013671875
cosmo,8000,10.616983699798585
cosmo,8000,10.269044780731202
cosmo,16000,39.36224069595337
cosmo,16000,39.36612057685852
cosmo,16000,39.25665411949158
cosmo,16000,38.00320830345154
cosmo,16000,39.20758113861084
cosmo,24000,86.80709772109985
cosmo,24000,87.47427415847778
cosmo,24000,87.10024914741516
cosmo,24000,86.40805096626282
cosmo,24000,85.79905118942261
